,t1,t2,t3,t4,t5,t6,K_i2,C,rho,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8
B1,0.9999999999174962,0.9999999999174962,0.3661026643151732,0.9999999999596157,0.9999999999977585,0.9999999999977585,,,0.1308332870347687,-0.07516418830668586,0.0036591577621304106,-0.07516418830668586,0.15999999997198344,0.19914844834500256,-0.2866827032360416,-0.2500000000513479,-0.15973242061232917,0.12203422143839106
B2,0.9999999999999976,0.9999999999999977,0.3661082233754905,0.9999999999997033,0.9999999983300168,0.9999999983009127,1.0,,0.1308332871366492,-0.07516189130637191,0.003660838460176896,-0.07516189130637191,0.15999999999998732,0.19915117309175556,-0.2866820984110643,-0.2500000000000754,-0.15973081719911852,0.12203607445849683
B3,0.6364028253918675,0.6364028656350458,0.30463862979718975,0.9999999999999999,0.9999999999999386,0.9999999999999387,,11.12,0.09133114425958068,-0.07484000041989741,-0.018353525824131606,-0.07484000041989741,0.25974922183164717,0.16627494207592675,-0.14527205117170394,-0.12337102206950645,-0.17137782817226266,0.10154620993239659
B4,0.636446995211417,0.636446900336101,0.3046327616385781,0.9999999999999999,0.9999999989966107,0.9999999989988866,1.0,11.12,0.09133114440045789,-0.07483887366683989,-0.01835265303973252,-0.07483887366683989,0.25975930234828776,0.16627250052590745,-0.14526719986737757,-0.12336472174660607,-0.17137580310940537,0.10154425387952604
