,t1,t2,t3,t4,t5,t6,K_i2,C,rmsd
B1,0.9,0.9,0.4,0.9,0.9,0.9,,,0.19489273337612187
B2,0.9,0.9,0.4,0.9,0.9,0.9,1.0,,0.19489273337612187
B3,0.9,0.9,0.30000000000000004,0.9,0.9,0.9,,11.12,0.15294264003187527
B4,0.9,0.9,0.30000000000000004,0.9,0.9,0.9,1.0,11.12,0.15294264003187527
