,t1,t2,t3,t4,t5,t6,K_i2,C,rho,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10
B1,0.9999999999996065,0.999999999999657,0.5115301544572468,0.9999999999997204,0.9999999999999465,0.9999999999999536,,,0.2017225436896164,-0.04435924049472684,-0.08552888306967388,0.029277632042488844,-0.18049140685455167,-0.04435924049472684,0.08888888888878221,0.2667997411246935,-0.3447230954865891,-0.3333333333335683,-0.1437287294047918,0.17051005148574894
B2,0.9999999999999999,0.9999999999999999,0.42496682309958905,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.9999999999999998,,0.14730738274450553,-0.050840155743971494,-0.05026090325767957,0.021456333514614984,-0.1654545085164292,-0.050840155743971494,0.15999999999999992,0.22800059949984758,-0.28027571993473877,-0.2500000000000001,-0.14275339517588925,0.14165560769986302
B3,0.9999999999999999,0.9999999999999966,0.39590100042614473,0.999999999999999,0.9999999999999999,0.9999999999999999,,15.16948392307904,0.11080144927786312,-0.05428167237858017,-0.042181189618156756,0.006523521851458408,-0.18390756093352362,-0.05428167237858017,0.25918068101455183,0.21039349396356286,-0.13581228573671766,-0.0991597012411165,-0.15143691238504184,0.13196700014204824
B4,0.9999999999999999,0.9999999999999968,0.3454927794744016,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.9999999999999998,6.559339365891501,0.10588152676512469,-0.05364880569671282,-0.018253150473433233,0.007419339672389419,-0.16579068823488735,-0.05364880569671282,0.27642847221173067,0.18948826655800896,-0.14295458207652678,-0.10460973941024465,-0.14550384237705166,0.11516425982480054
