Data point,Color
LPS NFκBko,"[0.1494847224821585, 0.2390511770348638, 0.12831172039531633]"
PolyIC IRF3/7ko,"[0.23528867400727405, 0.39589482938522086, 0.40777247789012466]"
PolyIC NFκBko,"[0.5211508372182773, 0.4653218116770245, 0.6461434243038444]"
CpG p50ko,"[0.7720925213970843, 0.588564329145738, 0.6554528497318618]"
LPS WT,"[0.831562134424013, 0.8008539841247121, 0.7093407713858761]"
