Time,LPS,CpG,pIC
0,0.625931504635318,0.497082002441502,0.368232500247685
5,0.570325412617293,0.497082002441502,0.512951336729208
10,1.09806716519428,0.497082002441502,0.462406605922149
15,1.65797792622298,0.497082002441502,0.570320501871051
20,14.3287172280785,0.497082002441502,2.43224321007271
30,36.9509347772616,0.497082002441502,5.02041401560535
45,49.6283223444996,0.497082002441502,14.617637390359
60,59.7970147338298,0.497082002441502,21.1583606431459
70,60,0.497082002441502,22.4454533985408
80,59.4070398398022,0.497082002441502,33.080461356003
90,55.2943501401259,0.497082002441502,32.5490661380784
120,38.9531301195313,0.497082002441502,36.8232500247685
180,10.2152333469959,0.497082002441502,32.2493226238485
240,4.36959295873149,0.497082002441502,21.8107486047344
480,3.41467965591175,0.497082002441502,22.0357062524164
