Time,LPS,pIC,CpG
0,21.9172677037406,21.9172677037406,21.9172677
1,21.9172677037708,21.9172677037406,21.9172677
2,21.9172709684284,21.9172677040258,21.9172677
3,21.9189244091246,21.9172677276954,21.9172677
4,21.994019183566,21.9172684454491,21.91726771
5,22.8616307196748,21.9172756181173,21.91726775
6,27.2086436627183,21.9173179408777,21.91726827
7,39.6476610856305,21.9175278818491,21.91727207
8,62.870354063072,21.9183313445953,21.91729081
9,93.8465769893847,21.920755943695,21.91738053
10,126.824122996969,21.9266153048974,21.91764539
11,157.388919502617,21.9400132966895,21.91846741
12,183.307657106085,21.9687325899359,21.92049532
13,204.018292940294,22.0211621611209,21.92481268
14,219.879993067646,22.111755817724,21.93361088
15,231.593700741482,22.2702371012233,21.95110339
16,240.013539227053,22.5100043011672,21.98127581
17,245.932559197797,22.8805281900052,22.03068545
18,249.928718971606,23.4060741698642,22.11263047
19,252.468465007648,24.1686714363108,22.23615955
20,253.882946855807,25.1963531467755,22.41879269
21,254.406163691994,26.5649380895159,22.68446677
22,254.203996862189,28.3606883624092,23.04530302
23,253.388469336149,30.6454010853993,23.54848837
24,252.069792290355,33.4951604958392,24.21375586
25,250.300401707642,37.0212741334711,25.0752362
26,248.150985415307,41.2653157997723,26.20809758
27,245.679327360669,46.2366509036269,27.62189701
28,242.934850446939,51.9678053096756,29.39988569
29,239.962453156124,58.4198816504651,31.58622545
30,236.800134928264,65.5509777005256,34.24221062
31,233.486056840453,73.242954183091,37.4431164
32,230.056319848333,81.3933557530544,41.20239542
33,226.539585345998,89.8852399942608,45.61067583
34,222.96321215567,98.5994572231914,50.65243964
35,219.348939583068,107.419055559619,56.33404093
36,215.717843497481,116.232531984503,62.63179998
37,212.089639363985,124.931179102754,69.49903103
38,208.479858168717,133.434393417426,76.89593858
39,204.904481037683,141.622121782784,84.7112596
40,201.376059684636,149.438980646601,92.86153276
41,197.901514471516,156.814963215702,101.2577927
42,194.503523598673,163.632392935167,109.8109605
43,191.181902182841,169.878130771285,118.4107446
44,187.943425476685,175.524508649362,126.961652
45,184.805958300734,180.417019430072,135.3709266
46,181.766558729489,184.59896969756,143.5451444
47,178.833517774649,188.052017800862,151.3888946
48,176.011962248228,190.692446485491,158.8345311
49,173.306405631478,192.516438621016,165.7644341
50,170.720783972422,193.588202159437,172.1630533
51,168.265109590308,193.926513029136,177.9573191
52,165.908565600807,193.51087347879,183.0026625
53,163.727140030259,192.384453919977,187.3592398
54,161.659993576544,190.65989204764,190.9984274
55,159.707690889361,188.393908545808,193.7831042
56,157.889377344148,185.610298528108,195.8266891
57,156.235277765134,182.412083604059,197.0917693
58,154.697069988742,178.825225002643,197.6079134
59,153.274430322266,174.958082501281,197.3943523
60,152.00165917418,170.813071877576,196.5548693
61,150.899441865108,166.487606873212,195.0628271
62,149.838321377652,161.994649023495,193.0767002
63,148.994328345782,157.382990585256,190.5710961
64,148.175260632079,152.69072645284,187.6849773
65,147.579049261681,147.936150822249,184.4278565
66,147.008702135837,143.155830979644,180.891238
67,146.624331340089,138.370668805075,177.1044168
68,146.284119386335,133.605499397318,173.1273747
69,146.093840659108,128.878204449665,168.9932734
70,145.961393391027,124.204961659504,164.7478488
71,145.94481563556,119.610465165562,160.4123737
72,145.988405850749,115.101134792345,156.026306
73,146.109085443048,110.704901148803,151.6086433
74,146.327273906305,106.43332855769,147.1857787
75,146.590219932291,102.297308505792,142.7770263
76,146.905329067525,98.3097521622269,138.4002223
77,147.286351042428,94.4829638649511,134.0719276
78,147.69657777176,90.828668046865,129.8133738
79,148.141172008533,87.366655063935,125.6366726
80,148.621412531114,84.0786475855878,121.5550222
81,149.115664178661,80.9844722535985,117.5751463
82,149.625606151789,78.1584289173306,113.7125226
83,150.144190998953,75.5446190925394,109.9778458
84,150.6635048048,73.1496211336854,106.3810902
85,151.176796200719,70.9798172782295,102.9315531
86,151.681927921914,69.0577988072768,99.64351695
87,152.17195223426,67.444392734306,96.49182408
88,152.639494084933,66.0799849253612,93.55645475
89,153.09186251016,64.9687617725846,90.78844691
90,153.502288031188,64.1158858512797,88.19235423
91,153.899592953004,63.5620060855648,85.768155
92,154.242815792366,63.3401691367845,83.55493724
93,154.563616374765,63.3951157874546,81.54100657
94,154.840128803699,63.7144870853089,79.7303927
95,155.074691310341,64.3308441138681,78.12657697
96,155.279182702091,65.2890136866004,76.74260876
97,155.422535640855,66.5599535905719,75.57193606
98,155.548501800052,68.1486512309865,74.63524528
99,155.601842922688,70.0255267541482,73.89807642
100,155.634580107936,72.2145738644111,73.36275707
101,155.612973801724,74.7024095080983,73.02920509
102,155.554783891457,77.4579522846102,72.92791475
103,155.460838888372,80.4672999819558,73.06276577
104,155.31651493897,83.6960753674221,73.35786744
105,155.154170591149,87.1584093916381,73.88881378
106,154.930518537853,90.7886763274258,74.61924868
107,154.693399243653,94.5710932763062,75.56220971
108,154.410160373161,98.461180301306,76.67408984
109,154.104376454921,102.426249596641,77.96156016
110,153.768583261605,106.4294376957,79.42842297
111,153.407388980671,110.43352915199,81.05467477
112,153.025027475618,114.400440625219,82.82186619
